날짜,클릭수,노출,CTR,게재 순위
2026-05-30,0,0,,
2026-05-31,0,0,,
2026-06-01,0,0,,
2026-06-02,0,0,,
2026-06-03,0,0,,
2026-06-04,0,0,,
2026-06-05,0,0,,
2026-06-06,0,0,,
2026-06-07,0,0,,
2026-06-08,0,1,0%,7
2026-06-09,0,2,0%,8
2026-06-10,0,11,0%,1.9
2026-06-11,0,4,0%,6.2
2026-06-12,0,5,0%,9.2
2026-06-13,0,14,0%,1.5
2026-06-14,0,15,0%,6.2
2026-06-15,1,11,9.09%,17
2026-06-16,0,4,0%,5.2
2026-06-17,1,21,4.76%,7.8
2026-06-18,0,32,0%,15
2026-06-19,0,22,0%,15
2026-06-20,0,5,0%,7.4
2026-06-21,1,17,5.88%,7.9
2026-06-22,1,16,6.25%,12.1
2026-06-23,1,22,4.55%,8.5
2026-06-24,0,10,0%,12
2026-06-25,0,15,0%,15.8
2026-06-26,0,15,0%,9.9
2026-06-27,0,19,0%,11.6
2026-06-28,0,18,0%,7.7
2026-06-29,0,16,0%,7.6
2026-06-30,3,28,10.71%,20.1
2026-07-01,1,23,4.35%,8
2026-07-02,0,14,0%,12.9
2026-07-03,0,28,0%,10.6
2026-07-04,1,21,4.76%,11
2026-07-05,1,43,2.33%,16
2026-07-06,1,30,3.33%,15.1
2026-07-07,0,28,0%,7.9
2026-07-08,0,28,0%,10.3
2026-07-09,1,18,5.56%,7.3
2026-07-10,0,21,0%,12.6
2026-07-11,0,4,0%,10.2
2026-07-12,1,21,4.76%,11.2
2026-07-13,0,10,0%,7
2026-07-14,0,25,0%,7.5
2026-07-15,0,12,0%,25.2
2026-07-16,0,17,0%,7.6
2026-07-17,0,17,0%,8.5
2026-07-18,0,26,0%,8.5
2026-07-19,1,29,3.45%,6.9
2026-07-20,1,34,2.94%,9.9
2026-07-21,0,20,0%,8.9
2026-07-22,0,23,0%,11.4
2026-07-23,0,30,0%,12.1
2026-07-24,0,9,0%,8.3
2026-07-25,0,22,0%,8
2026-07-26,0,25,0%,7.9
2026-07-27,0,21,0%,9.3
2026-07-28,1,29,3.45%,9.3
2026-07-29,1,35,2.86%,8.7
2026-07-30,0,35,0%,10.8
2026-07-31,0,15,0%,8
2026-08-01,0,22,0%,15
2026-08-02,1,19,5.26%,19.5
2026-08-03,1,43,2.33%,10
2026-08-04,0,34,0%,11.4
2026-08-05,0,33,0%,8.6
2026-08-06,0,20,0%,8.3
2026-08-07,0,29,0%,7.8
2026-08-08,0,19,0%,7
2026-08-09,0,32,0%,16.4
2026-08-10,0,12,0%,8.2
2026-08-11,0,18,0%,9.2
2026-08-12,1,21,4.76%,12
2026-08-13,0,10,0%,13.1
2026-08-14,0,4,0%,23.8
2026-08-15,0,8,0%,17.1
2026-08-16,0,11,0%,19.5
2026-08-17,0,14,0%,6.7
2026-08-18,0,14,0%,8.2
2026-08-19,1,12,8.33%,31.8
2026-08-20,1,15,6.67%,6.7
2026-08-21,0,6,0%,16
