국가,클릭수,노출,CTR,게재 순위
한국,28,1287,2.18%,11.23
미국,0,466,0%,8
홍콩,0,19,0%,8.32
독일,0,17,0%,5.71
아랍에미리트 연합,0,16,0%,7.12
영국,0,8,0%,6.5
프랑스,0,7,0%,6.43
일본,0,6,0%,10
네덜란드,0,4,0%,9.25
베트남,0,4,0%,27.75
루마니아,0,3,0%,7
태국,0,2,0%,5
캐나다,0,2,0%,7.5
뉴질랜드,0,2,0%,8
도미니카 공화국,0,2,0%,9.5
캄보디아,0,2,0%,10.5
호주,0,2,0%,11.5
멕시코,0,2,0%,29
필리핀,0,2,0%,58
그리스,0,1,0%,2
이탈리아,0,1,0%,3
칠레,0,1,0%,4
체코,0,1,0%,4
헝가리,0,1,0%,4
오스트리아,0,1,0%,9
중국,0,1,0%,10
이라크,0,1,0%,10
말레이시아,0,1,0%,10
페루,0,1,0%,10
싱가포르,0,1,0%,15
불가리아,0,1,0%,17
인도,0,1,0%,97
